<TICKER>,<PER>,<AVG_TYPE>,<QUOTE>,<DATE>,<TIME>,<AVG>
AAPL.US, 5, SMA10, CLOSE, 153000, 110.5, 110.575
AAPL.US, 5, SMA10, CLOSE, 153500, 110.65, 110.42
AAPL.US, 5, SMA10, CLOSE, 154000, 110.56, 110.63
AAPL.US, 5, SMA10, CLOSE, 154500, 110.34, 110.93
AAPL.US, 5, SMA10, CLOSE, 155000, 110.94, 111.125
AAPL.US, 5, SMA10, CLOSE, 155500, 110.94, 111.275
AAPL.US, 5, SMA10, CLOSE, 160000, 111.32, 111.08000000000001
AAPL.US, 5, SMA10, CLOSE, 160500, 111.22, 111.11000000000001
