timestamp,message
1637299339778,"START RequestId: 79bd6aeb-58eb-4475-8d18-5f2a153a8111 Version: $LATEST
"
1637299339782,"From SNS: AAPL.US,5,20200812,154000,110.56,110.84,110.3,110.33,1538536,0
"
1637299339782,"END RequestId: 79bd6aeb-58eb-4475-8d18-5f2a153a8111
"
1637299339782,"REPORT RequestId: 79bd6aeb-58eb-4475-8d18-5f2a153a8111	Duration: 1.37 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299349927,"START RequestId: f42ff079-9da3-4bb3-9d2a-83a8b7b1a51b Version: $LATEST
"
1637299349930,"From SNS: AAPL.US,5,20200812,154500,110.34,111.02,110.33,110.93,2552524,0
"
1637299349931,"END RequestId: f42ff079-9da3-4bb3-9d2a-83a8b7b1a51b
"
1637299349931,"REPORT RequestId: f42ff079-9da3-4bb3-9d2a-83a8b7b1a51b	Duration: 1.45 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299360100,"START RequestId: 49f306d4-9f73-4b8d-8492-16028052f095 Version: $LATEST
"
1637299360103,"From SNS: AAPL.US,5,20200812,155000,110.94,111.15,110.79,110.93,2532200,0
"
1637299360104,"END RequestId: 49f306d4-9f73-4b8d-8492-16028052f095
"
1637299360104,"REPORT RequestId: 49f306d4-9f73-4b8d-8492-16028052f095	Duration: 1.27 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299370258,"START RequestId: b73bb788-ea4e-475f-8f3f-2afcb1dcb53e Version: $LATEST
"
1637299370260,"From SNS: AAPL.US,5,20200812,155500,110.94,111.39,110.94,111.32,2688708,0
"
1637299370261,"END RequestId: b73bb788-ea4e-475f-8f3f-2afcb1dcb53e
"
1637299370261,"REPORT RequestId: b73bb788-ea4e-475f-8f3f-2afcb1dcb53e	Duration: 1.26 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299380418,"START RequestId: be8afdb4-b80b-43c1-9175-879d64bc8674 Version: $LATEST
"
1637299380421,"From SNS: AAPL.US,5,20200812,160000,111.32,111.38,111.17,111.23,1761544,0
"
1637299380422,"END RequestId: be8afdb4-b80b-43c1-9175-879d64bc8674
"
1637299380422,"REPORT RequestId: be8afdb4-b80b-43c1-9175-879d64bc8674	Duration: 1.33 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299390715,"START RequestId: 66c86ad3-4921-4c84-80d4-cb8c4da9b8c6 Version: $LATEST
"
1637299390717,"From SNS: AAPL.US,5,20200812,160500,111.22,111.32,110.93,110.93,1842868,0
"
1637299390718,"END RequestId: 66c86ad3-4921-4c84-80d4-cb8c4da9b8c6
"
1637299390718,"REPORT RequestId: 66c86ad3-4921-4c84-80d4-cb8c4da9b8c6	Duration: 1.39 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299400791,"START RequestId: 57554544-efbd-47b7-92a5-f69d4b4d1108 Version: $LATEST
"
1637299400793,"From SNS: AAPL.US,5,20200812,161000,110.92,111.31,110.9,111.29,1172112,0
"
1637299400794,"END RequestId: 57554544-efbd-47b7-92a5-f69d4b4d1108
"
1637299400794,"REPORT RequestId: 57554544-efbd-47b7-92a5-f69d4b4d1108	Duration: 1.22 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299410922,"START RequestId: ebf02939-8241-4068-b306-34cec0b5a1ce Version: $LATEST
"
1637299410925,"From SNS: AAPL.US,5,20200812,161500,111.27,111.41,111.17,111.24,1506304,0
"
1637299410926,"END RequestId: ebf02939-8241-4068-b306-34cec0b5a1ce
"
1637299410926,"REPORT RequestId: ebf02939-8241-4068-b306-34cec0b5a1ce	Duration: 1.18 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
1637299421269,"START RequestId: 73b58029-3e5e-4515-9dfa-2c4e054b3dac Version: $LATEST
"
1637299421272,"Calculate average based on: CLOSE w/ period length: 10
"
1637299421495,"END RequestId: 73b58029-3e5e-4515-9dfa-2c4e054b3dac
"
1637299421495,"REPORT RequestId: 73b58029-3e5e-4515-9dfa-2c4e054b3dac	Duration: 222.91 ms	Billed Duration: 223 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
